id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
8533509,NCU,,,PreservedSpecimen,5c1cd579-df2f-4515-8fe2-2c0b8ba4d222,NCU00076428,85398,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Jasper,,,,,,32.43709066,-81.03211789,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:5c1cd579-df2f-4515-8fe2-2c0b8ba4d222,http://sernecportal.org/portal/collections/individual/index.php?occid=8533509
8533519,NCU,,,PreservedSpecimen,9e97a309-86b9-4c5e-9e0f-cd3a4bc6c301,NCU00076429,149431,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Kershaw,,,,,,34.33877918,-80.59028164,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:9e97a309-86b9-4c5e-9e0f-cd3a4bc6c301,http://sernecportal.org/portal/collections/individual/index.php?occid=8533519
8533524,NCU,,,PreservedSpecimen,9078a2a3-08ec-4060-b7c3-6b300a3bbb77,NCU00076431,149579,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Lancaster,,,,,,34.68675855,-80.70539952,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:9078a2a3-08ec-4060-b7c3-6b300a3bbb77,http://sernecportal.org/portal/collections/individual/index.php?occid=8533524
8533528,NCU,,,PreservedSpecimen,afd58b00-6eb7-4680-95ea-8a4715ca5fd0,NCU00076432,149582,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Lee,,,,,,34.16330067,-80.25452909,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:afd58b00-6eb7-4680-95ea-8a4715ca5fd0,http://sernecportal.org/portal/collections/individual/index.php?occid=8533528
8533529,NCU,,,PreservedSpecimen,f47bf7d0-4b3c-487d-b4a3-2751233c2802,NCU00076433,149583,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Lee,,,,,,34.16330067,-80.25452909,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:f47bf7d0-4b3c-487d-b4a3-2751233c2802,http://sernecportal.org/portal/collections/individual/index.php?occid=8533529
8533533,NCU,,,PreservedSpecimen,4856a329-ccae-4a05-bc68-306f40d93c2d,NCU00076434,149584,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Lexington,,,,,,33.9022482,-81.27218683,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:4856a329-ccae-4a05-bc68-306f40d93c2d,http://sernecportal.org/portal/collections/individual/index.php?occid=8533533
8533538,NCU,,,PreservedSpecimen,e8b0e44c-64eb-4bcf-81f4-5e47901e8bc0,NCU00076435,149580,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Lexington,,,,,,33.9022482,-81.27218683,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:e8b0e44c-64eb-4bcf-81f4-5e47901e8bc0,http://sernecportal.org/portal/collections/individual/index.php?occid=8533538
8533539,NCU,,,PreservedSpecimen,abffe43e-9e8a-4467-9221-02bba99511fe,NCU00076430,185220,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Richland,,,,,,34.02181014,-80.90306099,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:abffe43e-9e8a-4467-9221-02bba99511fe,http://sernecportal.org/portal/collections/individual/index.php?occid=8533539
8533545,NCU,,,PreservedSpecimen,3252abf4-1624-4b47-8d49-86aa1f07fc8f,NCU00076436,149169,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Sumter,,,,,,33.91618503,-80.38230988,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:3252abf4-1624-4b47-8d49-86aa1f07fc8f,http://sernecportal.org/portal/collections/individual/index.php?occid=8533545
8533548,NCU,,,PreservedSpecimen,445857c6-5b63-4da4-9f11-77120254d9a5,NCU00076437,149177,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon virginicus,48572,L.,Andropogon,virginicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,South Carolina,Williamsburg,,,,,,33.61992702,-79.72771383,,,,,,,,,,,,,,,,en,wpmarinello,10/25/16 15:16,,206,urn:uuid:445857c6-5b63-4da4-9f11-77120254d9a5,http://sernecportal.org/portal/collections/individual/index.php?occid=8533548
