STATE,CWA,COUNTYNAME,FIPS,TIME_ZONE,FE_AREA,LON,LAT
PA,CLE,Erie,42049,E,nw,-80.03214576900,41.99165009890
PA,CTP,Clinton,42035,E,nc,-77.63850227540,41.23409082240
RI,BOX,Providence,44007,E,,-71.58110172700,41.87242868460
RI,BOX,Washington,44009,E,,-71.62337827190,41.46872526250
VT,BTV,Chittenden,50007,E,nw,-73.08088653260,44.46088655710
VT,BTV,Addison,50001,E,cc,-73.14067422140,44.03056979350
VT,BTV,Rutland,50021,E,ss,-73.03661473830,43.58009476880
VT,ALY,Windham,50025,E,ss,-72.71381324900,42.99062339470
VT,BTV,Franklin,50011,E,nw,-72.91201656260,44.85743423020
MA,BOX,Essex,25009,E,ne,-70.95813642070,42.67288626310
MA,BOX,Plymouth,25023,E,se,-70.81287344720,41.95471801040
MA,BOX,Hampden,25013,E,ww,-72.63163625510,42.13506870250
RI,BOX,Kent,44003,E,,-71.59433044100,41.67195395340
NH,GYX,Rockingham,33015,E,ss,-71.12511638000,42.98767732310
NJ,OKX,Union,34039,E,ne,-74.31039417140,40.66000402530
ME,GYX,York,23031,E,sw,-70.71562875930,43.47957314260
ME,GYX,Cumberland,23005,E,sw,-70.40955912690,43.84870367810
ME,GYX,Franklin,23007,E,ww,-70.44396937150,44.97396555280
NJ,OKX,Bergen,34003,E,ne,-74.07813172460,40.96150920540
CT,OKX,New London,09011,E,ss,-72.10039324900,41.48930995880
MA,BOX,Suffolk,25025,E,ee,-71.08175934010,42.33084155660
ME,GYX,Waldo,23027,E,sc,-69.14781334600,44.50371635200
ME,CAR,Hancock,23009,E,se,-68.35310293660,44.67491157540
NY,OKX,Nassau,36059,E,se,-73.58853651980,40.74106170190
NJ,OKX,Essex,34013,E,ne,-74.24810683350,40.78806893540
MA,BOX,Barnstable,25001,E,se,-70.29817659290,41.72574446320
ME,GYX,Kennebec,23011,E,sc,-69.76721655950,44.40933946200
CT,OKX,Middlesex,09007,E,ss,-72.53402155430,41.46241389230
CT,OKX,Fairfield,09001,E,ss,-73.38874376250,41.27313779300
NH,GYX,Coos,33007,E,nn,-71.30569418410,44.68930271680
VT,BTV,Caledonia,50005,E,ne,-72.10221344510,44.46472594050
KY,LMK,Madison,21151,E,cc,-84.27801953780,37.72018997280
KY,JKL,Magoffin,21153,E,se,-83.06479927480,37.70656603530
KY,LMK,Marion,21155,E,cc,-85.26964263520,37.55251003680
KY,PAH,Marshall,21157,C,ww,-88.32933256110,36.88343606540
KY,JKL,Martin,21159,E,ne,-82.51315577230,37.80158364640
KY,ILN,Mason,21161,E,nn,-83.82404547770,38.59520827130
KY,LMK,Meade,21163,E,cc,-86.21694466000,37.96951758080
KY,JKL,Menifee,21165,E,ec,-83.59889782890,37.94135032180
KY,LMK,Mercer,21167,E,cc,-84.87438963080,37.81111673340
KY,LMK,Metcalfe,21169,C,sc,-85.62913098930,36.99048693230
KY,LMK,Monroe,21171,C,sc,-85.71640900510,36.71218366570
KY,JKL,Montgomery,21173,E,ec,-83.91316562150,38.03355930320
KY,JKL,Morgan,21175,E,se,-83.25892721800,37.92232245490
KY,PAH,Muhlenberg,21177,C,sc,-87.14207846290,37.21570553170
KY,LMK,Nelson,21179,E,cc,-85.46616805060,37.80508749020
KY,LMK,Nicholas,21181,E,cc,-84.01529248290,38.33564445480
KY,LMK,Ohio,21183,C,cc,-86.84897815800,37.47826966830
KY,LMK,Oldham,21185,E,cc,-85.44847924500,38.39950156600
KY,ILN,Owen,21187,E,nn,-84.82804713630,38.51967356350
KY,JKL,Owsley,21189,E,se,-83.68315124380,37.41925116110
KY,ILN,Pendleton,21191,E,nn,-84.36017164730,38.69566209610
KY,JKL,Perry,21193,E,se,-83.22152575780,37.24432602590
KY,JKL,Pike,21195,E,se,-82.39577878480,37.46904566530
KY,JKL,Powell,21197,E,ec,-83.82385266460,37.83118529730
KY,JKL,Pulaski,21199,E,sc,-84.57714632420,37.10388078270
KY,ILN,Robertson,21201,E,nn,-84.05208396130,38.51884164830
KY,JKL,Rockcastle,21203,E,sc,-84.31597388700,37.36518304020
KY,JKL,Rowan,21205,E,ec,-83.42111424650,38.19626296220
