,stateProvince,county,decimalLongitude,decimalLatitude,scientificName
227,Virginia,James City,-76.83243668,37.22974197, Magnolia grandiflora
228,Virginia,James City,-76.83243668,37.22974197, Magnolia grandiflora
229,Virginia,James City,-76.83243668,37.22974197, Magnolia umbrella
230,Virginia,Mecklenburg,-78.36274998,36.68035747, Magnolia grandiflora
231,Virginia,Mecklenburg,-78.36274998,36.68035747, Magnolia grandiflora
232,Virginia,York,-76.4685953,37.2046153, Magnolia grandiflora
233,Pennsylvania,Crawford,-80.10628735,41.68475447, Magnolia grandiflora
234,Texas,Wood,-95.3820906,32.78639796, Magnolia grandiflora
235,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
236,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
237,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
238,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
239,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
240,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
241,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
242,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
243,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
244,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
245,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
246,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
247,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
248,Florida,Okaloosa,-86.59642771,30.70680287, Magnolia macrophylla
249,Florida,Liberty,-84.88291767,30.24137845, Magnolia macrophylla
250,Florida,Liberty,-84.88291767,30.24137845, Magnolia macrophylla
251,Florida,Liberty,-84.88291767,30.24137845, Magnolia fraseri
252,Florida,Walton,-85.89755659,30.54508146, Magnolia macrophylla
253,Florida,Walton,-85.89755659,30.54508146, Magnolia fraseri
254,North Carolina,McDowell,-82.04866696,35.68134711, Magnolia fraseri
255,North Carolina,McDowell,-82.04866696,35.68134711, Magnolia fraseri
256,North Carolina,McDowell,-82.04866696,35.68134711, Magnolia fraseri
257,North Carolina,McDowell,-82.04866696,35.68134711, Magnolia fraseri
258,North Carolina,McDowell,-82.04866696,35.68134711, Magnolia fraseri
259,North Carolina,McDowell,-82.04866696,35.68134711, Magnolia umbrella
260,North Carolina,Mitchell,-82.16342412,36.01330141, Magnolia fraseri
261,North Carolina,Mitchell,-82.16342412,36.01330141, Magnolia umbrella
262,North Carolina,Rutherford,-81.9201979,35.40229545, Magnolia fraseri
263,North Carolina,Rutherford,-81.9201979,35.40229545, Magnolia umbrella
264,North Carolina,Rutherford,-81.9201979,35.40229545, Magnolia umbrella
265,North Carolina,Rutherford,-81.9201979,35.40229545, Magnolia umbrella
266,North Carolina,Rutherford,-81.9201979,35.40229545, Magnolia umbrella
267,North Carolina,Stokes,-80.23951224,36.40184965, Magnolia fraseri
268,North Carolina,Stokes,-80.23951224,36.40184965, Magnolia fraseri
269,North Carolina,Stokes,-80.23951224,36.40184965, Magnolia fraseri
270,North Carolina,Stokes,-80.23951224,36.40184965, Magnolia umbrella
271,North Carolina,Stokes,-80.23951224,36.40184965, Magnolia umbrella
272,North Carolina,Stokes,-80.23951224,36.40184965, Magnolia cordata
273,North Carolina,Surry,-80.68816558,36.41481984, Magnolia fraseri
274,North Carolina,Surry,-80.68816558,36.41481984, Magnolia fraseri
275,North Carolina,Surry,-80.68816558,36.41481984, Magnolia fraseri
276,North Carolina,Surry,-80.68816558,36.41481984, Magnolia fraseri
277,North Carolina,Surry,-80.68816558,36.41481984, Magnolia umbrella
278,North Carolina,Swain,-83.49274888,35.48673924, Magnolia fraseri
279,North Carolina,Swain,-83.49274888,35.48673924, Magnolia umbrella
280,North Carolina,Swain,-83.49274888,35.48673924, Magnolia umbrella
281,North Carolina,Swain,-83.49274888,35.48673924, Magnolia umbrella
282,North Carolina,Alexander,-81.17715241,35.92109256, Magnolia fraseri
283,North Carolina,Alleghany,-81.12858542,36.49152833, Magnolia fraseri
284,North Carolina,Alleghany,-81.12858542,36.49152833, Magnolia fraseri
285,North Carolina,Ashe,-81.50103824,36.43461383, Magnolia fraseri
286,North Carolina,Ashe,-81.50103824,36.43461383, Magnolia fraseri
287,North Carolina,Ashe,-81.50103824,36.43461383, Magnolia fraseri
288,North Carolina,Avery,-81.92244412,36.07659361, Magnolia fraseri
289,North Carolina,Avery,-81.92244412,36.07659361, Magnolia fraseri
290,North Carolina,Buncombe,-82.53015914,35.61119845, Magnolia fraseri
291,North Carolina,Burke,-81.70450324,35.74948675, Magnolia fraseri
292,North Carolina,Burke,-81.70450324,35.74948675, Magnolia umbrella
293,North Carolina,Burke,-81.70450324,35.74948675, Magnolia cordata
294,North Carolina,Burke,-81.70450324,35.74948675, Magnolia cordata
295,North Carolina,Caldwell,-81.54650138,35.95297202, Magnolia fraseri
296,North Carolina,Caldwell,-81.54650138,35.95297202, Magnolia fraseri
297,North Carolina,Caldwell,-81.54650138,35.95297202, Magnolia umbrella
298,North Carolina,Caldwell,-81.54650138,35.95297202, Magnolia umbrella
299,North Carolina,Cherokee,-84.06347726,35.13386956, Magnolia fraseri
300,North Carolina,Cherokee,-84.06347726,35.13386956, Magnolia umbrella
301,North Carolina,Cherokee,-84.06347726,35.13386956, Magnolia umbrella
302,North Carolina,Cherokee,-84.06347726,35.13386956, Magnolia umbrella
303,North Carolina,Clay,-83.75018836,35.057238899999994, Magnolia fraseri
304,North Carolina,Graham,-83.833541,35.35016118, Magnolia fraseri
305,North Carolina,Graham,-83.833541,35.35016118, Magnolia umbrella
306,North Carolina,Graham,-83.833541,35.35016118, Magnolia umbrella
307,North Carolina,Graham,-83.833541,35.35016118, Magnolia umbrella
308,North Carolina,Graham,-83.833541,35.35016118, Magnolia umbrella
309,North Carolina,Haywood,-82.98221766,35.5560571, Magnolia fraseri
310,North Carolina,Haywood,-82.98221766,35.5560571, Magnolia fraseri
311,North Carolina,Haywood,-82.98221766,35.5560571, Magnolia fraseri
312,North Carolina,Haywood,-82.98221766,35.5560571, Magnolia umbrella
313,North Carolina,Henderson,-82.47990421,35.33624327, Magnolia fraseri
314,North Carolina,Jackson,-83.14081612,35.28739362, Magnolia fraseri
