,id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references,decimalLongitude,decimalLatitude
394,7976939,NCU,,,PreservedSpecimen,00980a24-b5a9-43b7-8b11-ffdaec98c53c,NCU00164404,368158,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Smyth,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:00980a24-b5a9-43b7-8b11-ffdaec98c53c,http://sernecportal.org/portal/collections/individual/index.php?occid=7976939,-81.53695245,36.84386511
395,7976940,NCU,,,PreservedSpecimen,a746b069-e1f2-41ce-973d-14ddf869f85f,NCU00164405,319309,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Smyth,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:a746b069-e1f2-41ce-973d-14ddf869f85f,http://sernecportal.org/portal/collections/individual/index.php?occid=7976940,-81.53695245,36.84386511
396,7976941,NCU,,,PreservedSpecimen,75d4a432-a126-4e15-8f54-039ecee170b9,NCU00164406,343428,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Washington,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:75d4a432-a126-4e15-8f54-039ecee170b9,http://sernecportal.org/portal/collections/individual/index.php?occid=7976941,-82.12172993,36.64867883
397,7976943,NCU,,,PreservedSpecimen,f64337cb-e08d-40e3-a3a7-58a0cac7ba73,NCU00164407,319306,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Wythe,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:f64337cb-e08d-40e3-a3a7-58a0cac7ba73,http://sernecportal.org/portal/collections/individual/index.php?occid=7976943,-81.07859277,36.91713187
398,7976944,NCU,,,PreservedSpecimen,7e8ba698-f43c-49bf-811c-e5b34f0b12c0,NCU00164408,217829,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Virginia,Wythe,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:7e8ba698-f43c-49bf-811c-e5b34f0b12c0,http://sernecportal.org/portal/collections/individual/index.php?occid=7976944,-81.07859277,36.91713187
399,7976949,NCU,,,PreservedSpecimen,4fb27d59-4c7f-4613-8840-2512da3dd31b,NCU00164409,258153,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,West Virginia,Pocahontas,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:4fb27d59-4c7f-4613-8840-2512da3dd31b,http://sernecportal.org/portal/collections/individual/index.php?occid=7976949,-80.00773968,38.33179875
400,7976950,NCU,,,PreservedSpecimen,ff43dfc1-2e2e-4404-9e97-cad2400b03b5,NCU00164410,257540,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,West Virginia,Webster,,,,,,,,,,,,,,,,,,,,,en,wpmarinello,11/30/15 17:35,,206,urn:uuid:ff43dfc1-2e2e-4404-9e97-cad2400b03b5,http://sernecportal.org/portal/collections/individual/index.php?occid=7976950,-80.42187042,38.49470857
401,7978787,NCU,,,PreservedSpecimen,ecf2cc47-0c72-48ce-a4cb-7f03f4888b0d,NCU00164809,310459,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia fraseri,90969,Walter,Magnolia,fraseri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Jasper,,,,0,,,,,,,,,,,,,,,,,en,wpmarinello,12/1/15 15:26,,206,urn:uuid:ecf2cc47-0c72-48ce-a4cb-7f03f4888b0d,http://sernecportal.org/portal/collections/individual/index.php?occid=7978787,-94.0250208,30.74397527
402,7970195,NCU,,,PreservedSpecimen,f9762418-4757-4564-bad3-9161a21ca0fe,NCU00163783,75288,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia macrophylla,90971,Michx.,Magnolia,macrophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Iredell,,,,1,,,,,,,,,,,,,,,,,en,wpmarinello,11/25/15 9:57,,206,urn:uuid:f9762418-4757-4564-bad3-9161a21ca0fe,http://sernecportal.org/portal/collections/individual/index.php?occid=7970195,-80.87364479,35.80721882
403,7970198,NCU,,,PreservedSpecimen,4d34ecad-a918-462d-ae76-a52a99df25a7,NCU00163784,319838,Plantae,Magnoliophyta,,Magnoliales,Magnoliaceae,Magnolia macrophylla,90971,Michx.,Magnolia,macrophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,North Carolina,Iredell,,,,1,,,,,,,,,,,,,,,,,en,wpmarinello,11/25/15 9:57,,206,urn:uuid:4d34ecad-a918-462d-ae76-a52a99df25a7,http://sernecportal.org/portal/collections/individual/index.php?occid=7970198,-80.87364479,35.80721882
