coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
4694007,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:a9c98446-bb78-41a5-a1c0-04b234cc5192,"2016-08-09 12:04:04"
4694007,"Nelson, John",,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:8d1e6e22-a363-46c9-8274-4b9520119bc3,"2016-08-09 12:04:04"
4694009,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:3f6bb6ce-c032-4ede-82ef-f6c70f4f887f,"2016-08-09 12:04:04"
4694009,"Richard D. Porcher, Jr.",,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:681debbe-afde-47ec-be00-eee4d3144c0b,"2016-08-09 12:04:04"
4694010,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:04255111-eb94-4593-9f7f-0a5d13593626,"2016-08-09 12:04:04"
4694010,"David T. Nestor",,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:39dbc108-54a2-42ab-b1ad-1a0f220b082f,"2016-08-09 12:04:04"
4694011,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:fe6f4c81-f3bb-4edb-8e98-ac8fef4ec1c2,"2016-08-09 12:04:04"
4694011,PDM,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:8e391a91-53af-4b54-9380-60112ce9fe11,"2016-08-09 12:04:04"
4694012,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:c7e2f933-dd3f-4ab6-b05c-3b218c75e715,"2016-08-09 12:04:04"
4694012,PDM,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:0204ca2e-9d4e-45d6-8ec3-94ec46b2bf04,"2016-08-09 12:04:04"
4694031,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:3dcc0d89-ab52-46a9-84fb-b13336bc3138,"2016-08-09 12:04:04"
4694031,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:85afa165-662b-403d-ae43-2431a8ab2b8b,"2016-08-09 12:04:04"
4694032,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:b2546c7f-75d9-4f27-91b9-837eef822586,"2016-08-09 12:04:04"
4694032,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:09bc28ae-5f02-4d91-8c89-4086ca6b7195,"2016-08-09 12:04:04"
4694047,"Horwitz, S",,2003-02-19,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,"WILLI annotation label",urn:uuid:7f5b04b1-b050-4740-a34e-c0f91259666a,"2016-08-09 12:04:04"
4694047,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:128189f5-850d-432a-a901-b920ce5e9458,"2016-08-09 12:04:04"
4694049,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"All orchid records to RAB 1968.",urn:uuid:5bb4539a-7388-4dda-a5b7-aa6005c75cd9,"2016-08-09 12:06:10"
4694049,unknown,,unknown,,"Cleistesiopsis bifaria",,"(Fernald) Pansarin & F.Barros",,,,,,,urn:uuid:23ad74d1-7800-41bb-b58f-0fdee716ace9,"2016-08-09 12:06:10"
4694053,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:fe6f6ce4-345b-4f32-af5a-70e3cdaed340,"2016-08-09 12:04:04"
4694053,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:a4b8dbb2-0e99-44e7-8e69-1fe57f3be3b3,"2016-08-09 12:04:04"
4694054,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:575cc1e4-1197-41e4-9aca-0ab21995e0bc,"2016-08-09 12:04:04"
4694054,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:edc8765e-47e0-40f2-95a2-85a0be74fb3d,"2016-08-09 12:04:04"
4694055,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:240a8159-8fef-4ddf-b7e2-4af676f047dc,"2016-08-09 12:04:04"
4694055,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:093c7656-ff3a-4f3f-8911-5268acfd7077,"2016-08-09 12:04:04"
4694056,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:98455b2a-45e8-428e-b28f-9433b832eb59,"2016-08-09 12:04:04"
4694056,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:8d5d2f6f-6d7a-4943-80fa-780f8454e58b,"2016-08-09 12:04:04"
4694057,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:f622b9a6-56e1-46a8-aa84-11b6736b605a,"2016-08-09 12:04:04"
4694057,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:2baff855-31f0-4fb6-b8de-e2689136b740,"2016-08-09 12:04:04"
4694058,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:fb57a23d-6181-4f27-b860-c8c85f34317d,"2016-08-09 12:04:04"
4694058,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:0a9bff27-9cda-430a-9eb4-280f029d3e64,"2016-08-09 12:04:04"
4694061,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:c73295b5-9b65-47dc-b975-a6360b5cc476,"2016-08-09 12:04:04"
4694061,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:a69ab432-8c5d-4845-af34-83d464591fb3,"2016-08-09 12:04:04"
4694062,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:66ff47ba-0a48-4ece-91ed-182f1420bed7,"2016-08-09 12:04:04"
4694062,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:34efeaa7-f134-4eb4-8019-bbc4c2ea2915,"2016-08-09 12:04:04"
4694066,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:05c33530-13ac-49cd-9183-40ef21c0c820,"2016-08-09 12:04:04"
4694066,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:d6f7bffc-4f38-4e43-845b-ed491b0ce627,"2016-08-09 12:04:04"
4694067,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:fae6f115-c9ac-415f-8abc-f509b185635b,"2016-08-09 12:04:04"
4694067,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:7643daed-417c-4333-86af-baa894e52dc2,"2016-08-09 12:04:04"
4694068,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:4d020af3-bb81-426d-8734-746a696fcf92,"2016-08-09 12:04:04"
4694068,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:44dd9d82-92e5-46df-a854-aa4aae9514a5,"2016-08-09 12:04:04"
4694072,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:7b85bde9-5c41-4458-917d-2d5ad95fa765,"2016-08-09 12:04:04"
4694072,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:ec6f050c-4345-4303-8a45-bd8b4a7e1e5d,"2016-08-09 12:04:04"
4694077,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:49e69e4e-c847-4c50-9565-6d859844c10f,"2016-08-09 12:04:04"
4694077,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:837049dc-8ad0-443f-aada-c78f9abdebd9,"2016-08-09 12:04:04"
4694079,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:90b3194a-6bcb-4a6b-a9d8-905898eef6fc,"2016-08-09 12:04:04"
4694079,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:62d59f43-eaaf-4b6d-ac06-fa1ab7ed625e,"2016-08-09 12:04:04"
4694083,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:9251d7df-3a79-4b96-928e-d72b7064386f,"2016-08-09 12:04:04"
4694083,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:fac2c6ba-b24f-4566-9b06-a3549e03304a,"2016-08-09 12:04:04"
4694086,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:375ed585-6787-4009-809c-6e7ea86b30a9,"2016-08-09 12:04:04"
4694086,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:6ba804f5-8c52-48cf-8f6e-3a75ef6b7c9c,"2016-08-09 12:04:04"
4694087,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:f1c783d5-caeb-46ac-8e54-40a2e3319d2f,"2016-08-09 12:04:04"
4694087,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:5881ecb3-72e4-41a6-8614-6b05cef100b9,"2016-08-09 12:04:04"
4694089,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:d4bf5793-300a-4a87-8b7c-7d9a95e4243f,"2016-08-09 12:04:04"
4694089,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:dcdef8b4-da10-4e48-ae1e-7458e1720e11,"2016-08-09 12:04:04"
4694092,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:0e6c0b94-775c-4066-a1c7-31f76f8e7cac,"2016-08-09 12:04:04"
4694092,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:881ba4ab-1686-44e1-92ab-ee18f9c38aab,"2016-08-09 12:04:04"
4694093,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:b3cef42f-81c2-428b-b9e2-56c569288957,"2016-08-09 12:04:04"
4694093,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:67e5bd8d-834d-4a2a-938b-cab7bfc6c0d7,"2016-08-09 12:04:04"
4694094,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:cdcb7ccd-31c9-4a0e-a0d0-eaff8117940a,"2016-08-09 12:04:04"
4694094,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:58597940-25a0-4033-9e12-1ffaafee184e,"2016-08-09 12:04:04"
4694095,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:48dbef1e-e014-499f-b48b-48ca5d71239c,"2016-08-09 12:04:04"
4694095,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:31b04aeb-c0d7-465f-9785-4cb91afcb4a6,"2016-08-09 12:04:04"
4694097,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:db63548a-c918-4132-a2f7-ac7a7ad229d3,"2016-08-09 12:04:04"
4694097,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:9ef10c7c-39be-4e13-a206-a02a719f360b,"2016-08-09 12:04:04"
4694099,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:a0fa4f72-480c-4b64-bf88-e16a52db195e,"2016-08-09 12:04:05"
4694099,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:26701bda-7af6-44ce-8c46-976904807df7,"2016-08-09 12:04:05"
4694101,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:dfe502de-5866-4818-ac15-f29bd416f432,"2016-08-09 12:04:05"
4694101,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:928260f9-1194-4069-9232-c8f10add4240,"2016-08-09 12:04:05"
4694102,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:b2c8c7e6-3ce9-4cf5-a962-e236f093cc2e,"2016-08-09 12:04:05"
4694102,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:a05942d6-b032-4f5a-837f-9a3299775469,"2016-08-09 12:04:05"
4694107,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:72cc8c6d-637c-427c-a5ff-28232e01d8f4,"2016-08-09 12:04:05"
4694107,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:a40749cd-f38d-4cca-973e-73feaa2e424e,"2016-08-09 12:04:05"
4694108,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:2ed66a11-690b-48f5-84e5-8a82470e4289,"2016-08-09 12:04:05"
4694108,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:8fbc03ab-9aa6-42e7-9981-7035d7c64274,"2016-08-09 12:04:05"
4694109,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:78f2aa44-282c-4c30-aa77-81bc63dd85c4,"2016-08-09 12:04:05"
4694109,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:6afbb8ec-7e19-4aa1-ad5e-03950173ea86,"2016-08-09 12:04:05"
4694110,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:ae66f240-e404-4137-baea-5c27f8274d32,"2016-08-09 12:04:05"
4694110,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:f8e368d4-0391-44fa-9c01-b09de70fbb5a,"2016-08-09 12:04:05"
4694111,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:06fa924c-fb5b-4ba2-8226-06231fb4a319,"2016-08-09 12:04:05"
4694111,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:4a0644ac-3048-4b76-989c-7541e19e7e77,"2016-08-09 12:04:05"
4694112,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:38954811-4c65-4f3b-be0a-692f16b93fa6,"2016-08-09 12:04:05"
4694112,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:2c7b6542-c8db-47cd-9561-e7f68b9ffae3,"2016-08-09 12:04:05"
4694113,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:1ea39e0d-97f0-4063-8ea4-1cc70949c936,"2016-08-09 12:04:05"
4694113,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:7299a892-62f6-4445-9485-e67545bbbadf,"2016-08-09 12:04:05"
4694118,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:470ab513-6508-4160-bb4c-f82b1c2da3c9,"2016-08-09 12:04:05"
4694118,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:63807c43-c9d8-47bb-9abd-b2b75035f9cf,"2016-08-09 12:04:05"
4694119,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:5d458cd9-f84a-402a-a954-ce863a802a07,"2016-08-09 12:04:05"
4694119,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:16a4dc95-ed20-4dc9-a2d9-076bef42d3cc,"2016-08-09 12:04:05"
4694130,"Diane M. Ferguson",,2009-01-01,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:3616aa5d-376f-488c-b121-6b7e7a675666,"2016-08-09 12:04:05"
4694130,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:95af428b-1507-40e4-ac36-b2f78b25f819,"2016-08-09 12:04:05"
4694131,"J. W. Petranka",,2015-04-30,"= Cleistes bifaria","Cleistesiopsis bifaria",,"(Fernald) Pansarin & F.Barros",,,,,,,urn:uuid:e9a87685-6ffd-45ce-b450-1195a7cd36b4,"2016-08-09 12:06:10"
4694131,"Nomenclatural Adjustment",,"August 9, 2016","= Cleistes bifaria","Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"All orchid records to RAB 1968.",urn:uuid:2db00176-c645-4cd7-95e0-0ecd02bb7e5d,"2016-08-09 12:06:10"
4694139,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:6e7cff23-3267-43ef-8e1a-51a7c01ef7f8,"2016-08-09 12:04:05"
4694139,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:639bd96c-a096-4f02-85bc-1533f696fe28,"2016-08-09 12:04:05"
4694140,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:0322149b-eab7-4bbd-af81-680a39d75e5f,"2016-08-09 12:04:05"
4694140,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:c072437d-7d68-4538-b600-884b419aa758,"2016-08-09 12:04:05"
4694141,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:482ddbf1-36b5-46e2-9459-4eda3e5ddf36,"2016-08-09 12:04:05"
4694141,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:b5a114ab-5d36-4c89-b78d-aa65d5e1cd66,"2016-08-09 12:04:05"
4694150,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:6d8663a2-c9be-4550-9182-d29034a8965b,"2016-08-09 12:04:05"
4694150,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:eb7be7f2-d80a-42b1-89c2-81ecd9963f46,"2016-08-09 12:04:05"
4694151,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:619e10a6-fed0-4e5d-b3bc-d8dfeef6d968,"2016-08-09 12:04:05"
4694151,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:7ba074ab-d95a-428c-b5df-bbb7bbf50375,"2016-08-09 12:04:05"
4694152,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:f22b049b-509f-4584-a0bf-41fcdc9ff7d3,"2016-08-09 12:04:05"
4694152,unknown,,unknown,,"Cleistes bifaria",,"(Fernald) Catling & Gregg",,,,,,,urn:uuid:bbcc16f3-00ae-4e01-8df8-9955a8957563,"2016-08-09 12:04:05"
4694153,"Nomenclatural Adjustment",,"August 9, 2016",,"Cleistes divaricata",,"(L.) Ames",,,,,http://uncpress.unc.edu/books/T-766.html,"RAB 1968 - all orchid records.",urn:uuid:897c9015-4c32-4d1a-8da4-079052454856,"2016-08-09 12:04:05"
