coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
7977094,https://bisque.cyverse.org/image_service/image/00-TxcNW4dTx6m8Ct69ZLrae7?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-TxcNW4dTx6m8Ct69ZLrae7?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-TxcNW4dTx6m8Ct69ZLrae7?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-TxcNW4dTx6m8Ct69ZLrae7?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:03b8b287-dc2c-40e9-ba47-a64af8dbd452,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977094,StillImage,Photograph,en
7977095,https://bisque.cyverse.org/image_service/image/00-LDvX6GpCENJgX2Dp2QQEtT?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-LDvX6GpCENJgX2Dp2QQEtT?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-LDvX6GpCENJgX2Dp2QQEtT?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-LDvX6GpCENJgX2Dp2QQEtT?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7d144de9-f164-4db5-8f11-b4267d336923,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977095,StillImage,Photograph,en
7977096,https://bisque.cyverse.org/image_service/image/00-kkdoa32WgWu2vf9zgxzbRh?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-kkdoa32WgWu2vf9zgxzbRh?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-kkdoa32WgWu2vf9zgxzbRh?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-kkdoa32WgWu2vf9zgxzbRh?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:630f49b1-2931-4db4-aec0-2bad00de938b,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977096,StillImage,Photograph,en
7977098,https://bisque.cyverse.org/image_service/image/00-8kPQvs8PFDuk2uL8e4iVaN?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-8kPQvs8PFDuk2uL8e4iVaN?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-8kPQvs8PFDuk2uL8e4iVaN?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-8kPQvs8PFDuk2uL8e4iVaN?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:37dbb21e-611b-4e3d-a3c8-8dfc52eafef5,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977098,StillImage,Photograph,en
7977102,https://bisque.cyverse.org/image_service/image/00-sbKDGeFWb2JmQxVYd8FbHP?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-sbKDGeFWb2JmQxVYd8FbHP?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-sbKDGeFWb2JmQxVYd8FbHP?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-sbKDGeFWb2JmQxVYd8FbHP?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d5ecd3ea-5f1a-432c-b760-729cf6c0c58c,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977102,StillImage,Photograph,en
7977104,https://bisque.cyverse.org/image_service/image/00-rk6CkdNyuKaNQLmmsbcmvN?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-rk6CkdNyuKaNQLmmsbcmvN?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-rk6CkdNyuKaNQLmmsbcmvN?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-rk6CkdNyuKaNQLmmsbcmvN?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:72d7620a-3708-4e50-aeb4-c3434e818f6e,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977104,StillImage,Photograph,en
7977108,https://bisque.cyverse.org/image_service/image/00-Hd57ftZUMmVDfzkYz8mCB3?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-Hd57ftZUMmVDfzkYz8mCB3?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-Hd57ftZUMmVDfzkYz8mCB3?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-Hd57ftZUMmVDfzkYz8mCB3?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e619a774-aa3d-470e-9df5-d9ca8cabe87c,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977108,StillImage,Photograph,en
7977110,https://bisque.cyverse.org/image_service/image/00-nWxAfQRnJRuK4jbSaXFdoP?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-nWxAfQRnJRuK4jbSaXFdoP?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-nWxAfQRnJRuK4jbSaXFdoP?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-nWxAfQRnJRuK4jbSaXFdoP?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:13aaa548-dd47-471e-b123-ea7d50eb2a71,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977110,StillImage,Photograph,en
7977113,https://bisque.cyverse.org/image_service/image/00-Qk7nWTHUVHhgUzX5JzT7CU?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-Qk7nWTHUVHhgUzX5JzT7CU?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-Qk7nWTHUVHhgUzX5JzT7CU?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-Qk7nWTHUVHhgUzX5JzT7CU?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:14729668-b473-46c1-b5ae-8debd3b31fe3,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977113,StillImage,Photograph,en
7977117,https://bisque.cyverse.org/image_service/image/00-nQxdhUu5iJ9cUAf3wd3RsW?resize=4000&format=jpeg,https://bisque.cyverse.org/image_service/image/00-nQxdhUu5iJ9cUAf3wd3RsW?resize=4000&format=jpeg,"https://bisque.cyverse.org/image_service/image/00-nQxdhUu5iJ9cUAf3wd3RsW?thumbnail=200,200",https://bisque.cyverse.org/image_service/image/00-nQxdhUu5iJ9cUAf3wd3RsW?resize=1250&format=jpeg,,"University of North Carolina Chapel Hill Herbarium (NCU)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:27bd3352-7e55-4462-977d-e79fa96b2990,"2015-12-31 12:59:44",image/jpeg,http://sernecportal.org/portal/collections/individual/index.php?occid=7977117,StillImage,Photograph,en
