coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
7970387,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:3283da29-c9fc-4ad0-aa11-71babf140185,"2015-11-30 16:02:46"
7970389,"Radford, A. E.",,1951,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:adb32836-92b8-4535-a2bb-8fc8d3ed5c18,"2015-11-30 16:10:21"
7970389,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:7f918b35-73c6-4327-b2ac-2a44b4377be8,"2015-11-30 16:10:37"
7970389,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:efc07ff9-886e-402b-9c7c-2fbd502ea01d,"2015-11-30 16:10:21"
7970390,"Ashe, W. W.",,1928,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:f1c0af8e-7598-43d2-9945-3692a7cac1c3,"2015-11-30 16:12:17"
7970390,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:e087a213-143c-4e39-a713-ff3f03590786,"2015-11-30 16:12:17"
7970390,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:304893fe-8e1c-4258-9751-9f6efa65e22f,"2015-11-30 16:12:38"
7970393,"Coker, William Chambers",,1932,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:0ad58af6-dee8-4d63-838b-32c43d672f50,"2015-11-30 16:20:10"
7970393,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:5802a597-abb5-4f62-8c54-0d7e3abdae93,"2015-11-30 16:20:10"
7970393,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:494a49fc-7586-4ae6-bf34-3affca975038,"2015-11-30 16:20:30"
7970395,"Bell, Clyde Ritchie",,1946,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:6c0c9995-165a-497b-891e-a1271f7b7a39,"2015-11-30 16:25:15"
7970395,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:6aa4e81f-0d0d-4ac0-8f49-70c927746604,"2015-11-30 16:25:35"
7970395,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:14360c97-e3eb-43d0-8b35-c51a23a5296e,"2015-11-30 16:25:15"
7970396,"Britt, Robert F.",,1957,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:974a8084-acca-4d82-b814-f6c26076f434,"2015-11-30 17:29:55"
7970396,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:e2143508-f580-4c40-85b4-6f21a0fb0392,"2015-11-30 17:29:55"
7970396,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:593a49bb-0e3a-471b-af9b-dfddf032d328,"2015-11-30 17:30:15"
7970407,"Radford, A. E.",,1952,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:3fd145b1-5c16-46b5-8c25-13ce6a074c11,"2015-12-01 12:53:31"
7970407,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:1a4e5554-3c38-4e82-b774-b82a6c048850,"2015-12-01 12:53:31"
7970407,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:576d5231-b195-442f-86e0-cdd2690038bd,"2015-12-01 12:53:48"
7970408,"Thompson, Pam; Koch, W. J.",,1943,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:68996bd6-501a-437c-93b2-b73a5d020d5a,"2015-12-01 12:56:45"
7970408,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:65323fad-6b0d-4e55-9a33-a5a4fc1ddc4f,"2015-12-01 12:57:02"
7970408,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:dff043c7-f423-47c2-854a-c141e87b6a32,"2015-12-01 12:56:45"
7970410,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:de22a408-5971-40be-9d35-886b632db3a1,"2015-12-01 13:00:38"
7970410,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:07788fbc-e5af-4f92-bcf0-07a3bfe09b60,"2015-12-01 13:00:13"
7970410,"Coker, William Chambers",,s.d.,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:c5d3b21a-5338-4f2c-a6b8-a56483cc16fd,"2015-12-01 13:00:45"
7970411,"Totten, H. R.",,1931,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:74cae102-9d99-4ac4-86ec-d8e1ef8112de,"2015-12-01 13:02:54"
7970411,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:5d66a040-5309-492c-b1aa-6360fbca1a9d,"2015-12-01 13:02:54"
7970411,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:c6563a64-9ac0-4f1a-8f0f-30fc8b75c0ea,"2015-12-01 13:03:15"
7970413,"Totten, H. R.",,1914,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:3def2d4e-5177-468e-9f03-23d9dcdccdef,"2015-12-01 13:06:36"
7970413,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:fb8b9dc1-51ee-4786-90ad-88dd040f5dcb,"2015-12-01 13:06:53"
7970413,"Tobe, John David",,1992-11-00,,"Magnolia tripetala",1,"(L.) L.",,,,,,"section: Rhytidospermum Spach; Clemson University (CLEMS)",urn:uuid:db1e7859-db5d-4c56-8212-a47e388fe0ae,"2015-12-01 13:06:36"
7970414,"Coker, William Chambers",,1942,,"Magnolia tripetala",0,"(L.) L.",,,,,,,urn:uuid:b288bf19-6a56-425e-a16f-b9bb2d213a2c,"2015-12-01 14:11:58"
7970414,"Meyer, Frederick G.",,1990,,"Magnolia tripetala",0,"(L.) L.",,,,,,"FLORA OF NORTH AMERICA; U.S. NATIONAL ARBORETUM, WASHINGTON, D. C.",urn:uuid:69ba7f2f-42eb-4f7a-afcb-5a414be29ce0,"2015-12-01 14:12:15"
