coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
5573224,"C.P. Pase",,1959-09-08,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:42ba57b4-5781-4b74-9241-39d063dd4e26,"2014-12-23 15:15:32"
5573225,"L.N. Goodding",,1949-06-12,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:98d4afca-79c4-448b-aa04-34df03153241,"2014-12-23 15:15:32"
5573226,"A.A. Nichol",,1937-07-25,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:1650838b-9c94-470d-96b6-70f30e485bc9,"2014-12-23 15:15:32"
5573227,"L.N. Goodding",,1960-06-21,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:bbff727f-187c-4ca3-9966-b19256fb2d16,"2014-12-23 15:15:32"
5573228,"J.E. Bowers",,1982-04-18,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:c54e6d61-ab43-487f-9355-77d31b328585,"2014-12-23 15:15:32"
5573229,"R. H. Peebles",,1932-07-31,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:737228b1-479c-4dd6-b9da-3ff5aafcf4f4,"2014-12-23 15:15:32"
5573230,"A. Hesselberg",,1966-08-28,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:0bca6468-a6f2-4e21-9687-1ba1f7aa9646,"2014-12-23 15:15:32"
5573231,"F. W. Gould",,1946-10-15,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:8ad58755-b484-44ad-a690-3684a6b8d08b,"2014-12-23 15:15:32"
5573232,"V.L. Bohrer",,1962-08-19,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:347bc35c-6659-4b55-b62f-29f781fa9f06,"2014-12-23 15:15:32"
5573233,"C. Hope",,1934-05-19,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:7fc5a09d-ceb4-4bb9-8d67-df198d1f2915,"2014-12-23 15:15:32"
5573219,"L.N. Goodding",,1935-11-01,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:6f6b5292-5cea-4100-826f-19cfb394eb97,"2014-12-23 15:15:32"
5573218,"S.P. McLaughlin",,1986-06-01,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:64d81649-ad43-4f21-9f27-ef02c9efe4a6,"2014-12-23 15:15:32"
5573217,"R.D. Newsome",,1969-07-30,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:1dee97b8-1a62-4d03-be7a-f7e64da352cb,"2014-12-23 15:15:32"
5573203,"K.F. Parker",,1945-08-18,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:9d543da3-fbb6-441f-b0df-d90b697d4bef,"2014-12-23 15:15:32"
5573204,"L.N. Goodding",,1947-06-02,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:83bbda83-4de0-4380-b358-120a649d7a18,"2014-12-23 15:15:32"
5573205,Maguire,,1935-06-06,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:a97231d6-6297-45ea-ac08-739cd8b38b04,"2014-12-23 15:15:32"
5573206,"R.A. Darrow",,1944-09-30,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:3829a87a-af60-436f-8de5-7bd3d2fbb0a6,"2014-12-23 15:15:32"
5573207,"T. H. Kearney",,1935-09-20,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:f0a964f1-74c6-4855-9417-98aa35daa567,"2014-12-23 15:15:32"
5573208,"R.E. Coombs",,1978-06-22,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:814bd622-9fd9-49d9-9b64-705c74dea6e0,"2014-12-23 15:15:32"
5573209,"R.R. Johnson",,1958-07-11,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:67faeeaa-aafe-4ceb-bee3-3963e3f5b28f,"2014-12-23 15:15:32"
5573210,"G. J. Harrison",,1929-10-13,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:9247b582-1697-465e-b0cf-2ec6b0f9dd31,"2014-12-23 15:15:32"
5573211,"F. W. Gould",,1946-09-03,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:bdfec04e-7d75-4900-a35f-c5a427375db2,"2014-12-23 15:15:32"
5573212,"T. H. Kearney",,1934-10-06,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:7ed917e7-e7fd-4670-af20-1e3726da3d1f,"2014-12-23 15:15:32"
5573213,"J.J. Thornber",,1907-08-11,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:30d36049-ed76-4963-8fab-bb5b779103ed,"2014-12-23 15:15:32"
5573214,"L.N. Goodding",,1956-09-01,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:e1fb3844-0d3a-4b67-a5fe-16bcb4b91413,"2014-12-23 15:15:32"
5573215,"L.C. Whitehead",,1916-12-01,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:c7b696e8-51b0-4de7-b9e0-effd87ffb1cf,"2014-12-23 15:15:32"
5573216,"J.C. Blumer",,2000-12-01,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:eacf6682-5500-4f8b-8bc0-96d70568fde4,"2014-12-23 15:15:32"
5573234,Butterwick,,1980-05-30,,"Physalis hederifolia",0,"A. Gray",,,,,,,urn:uuid:138ea902-d3aa-4e62-a2c6-bb2e28d04ea4,"2014-12-23 15:15:32"
996702,"R. S. Felger",,1964-09-01,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:82cfa36a-0226-49ed-b792-cfe1c4e27d92,"2014-07-25 19:26:02"
996739,"A. Valiente-Banuet",,1985-08-11,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:b6b6b1dc-e4ea-4b65-a617-f3d84262d0d5,"2014-07-25 19:26:02"
996738,"R. S. Felger",,1984-10-24,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:1785b183-aafd-43cc-bb76-dba48e92c0b9,"2014-07-25 19:26:02"
996740,"H. S. Gentry",,1947-03-21,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:ed3d8e27-158f-4436-84e0-fdf3982e193c,"2014-07-25 19:26:02"
996741,"R. S. Felger",,1970-03-23,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:36c81cc2-6e33-4ec1-a514-ce43fb854bc3,"2014-07-25 19:26:02"
996742,"R. S. Felger",,1970-04-20,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:27e6be76-8598-4a2b-8de3-cf4761679856,"2014-07-25 19:26:02"
1004539,"Sarah J. De Groot",,2004-04-26,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:ac88e2f7-ca56-4be4-be31-4b2b733c3760,"2014-07-25 19:26:02"
5567692,"A. Harlan",,1992-11-27,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:1e35c28d-f267-4646-87c8-5654eb0218e4,"2014-12-23 15:15:32"
5567691,"J.T. Wright",,1954-09-13,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:a6d2a9e2-3806-428a-bd50-8cb125e8b5f0,"2014-12-23 15:15:32"
5567690,"J.J. Thornber",,1903-10-15,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:298f3866-ee65-4e2b-aaa9-53089a03c265,"2014-12-23 15:15:32"
5567689,"R.A. Darrow",,1939-04-09,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:e62b6e96-d559-44b5-83c1-591f1533d015,"2014-12-23 15:15:32"
5567693,"R.J. Barr",,1964-03-22,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:a010396e-c2c1-49d4-a189-0507c5722a3e,"2014-12-23 15:15:32"
5567694,"R.M. Turner",,1970-08-22,,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:4d389c43-0797-4913-a13c-f254356b3b7f,"2014-12-23 15:15:32"
5567694,"Janet R. Sullivan",,"Oct 1995",,"Physalis crassifolia",0,Benth.,,,,,,,urn:uuid:c1386b8e-60f7-40c3-b153-3521e076d6f1,"2017-04-06 14:47:48"
3826765,"Janet R. Sullivan",,10/95,,"Physalis crassifolia",0,Benth.,,,,,"Annotated for the Flora of North America",*probably,urn:uuid:0db37590-1044-4a8f-a026-c16639082c04,"2014-07-25 19:26:02"
