id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey,collId,recordId,references
4694260,USCH,MAIN,,PreservedSpecimen,c62d1e8a-141a-46c9-a6bd-6de8ea92ab7a,30453,30453,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis oricamporum,"P.M. Brown, 1982",Cleistesiopsis,oricamporum,,,N.M. Franz,2016,,,,,,"Batson, Jr., Wade",,,,5/8/55,1955,5,8,128,,,,Hilton Head Island,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Beaufort County,,Beaufort,,0,,32.441578,-80.647856,WGS84,3036,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:c62d1e8a-141a-46c9-a6bd-6de8ea92ab7a,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694260
4694302,WILLI,CUCH1,,PreservedSpecimen,438390cf-b9a6-4812-9e92-33b2fce813ea,39399,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,Weakley. 2015.,,,,,"Peake, Dwight E",,,252,6/28/78,1978,6,28,179,,,,"In dry sandy soil on open grassy roadside at edge of clearcut area 0.8 mile N of Pound Gap, W of the junction of Corder Branch and Little Stoney Creek, and N of Dungannon.","0.8 mile N of Pound Gap, W of the junctioDungannonn of Corder Branch and Little Stoney Creek, and N of",,,,,,,,,,,,,,,herbarium - 1,United States,Virginia,Scott,,Pound Gap,,1,,36.872511,-82.467658,WGS84,301,,,,GeoLocate,,,725,,,,,,,,,4/14/16 11:50,,612,urn:uuid:438390cf-b9a6-4812-9e92-33b2fce813ea,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694302
4694255,USCH,MAIN,,PreservedSpecimen,0ae1ea6f-3c9f-43e2-836a-c2b50a082279,40440,40440,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,"Logue, John",,,825362,6/11/82,1982,6,11,162,,,,Off Co. rd. S31-53 1.1 miles S of the junction of US 76 Pine savannah,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Lee County,,lynchburg,,1,,34.060157,-80.07146,WGS84,1633,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:0ae1ea6f-3c9f-43e2-836a-c2b50a082279,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694255
4694247,SJNM,CUCH1,,PreservedSpecimen,9d1eaaae-fce3-41d7-a4ef-67d323c62e7f,45487,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,,,,,,,,"Vasey, G. R.",,,,1878-00-00,1878,0,0,,,,,,,,,,,,,,,,,,,,,Unspecified - 1,United States,Georgia,,,N/A,,1,,,,,,,,,,,,,,,,,,,,,3/30/11 20:11,,612,urn:uuid:9d1eaaae-fce3-41d7-a4ef-67d323c62e7f,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694247
4694258,USCH,MAIN,,PreservedSpecimen,e56e7aa6-096c-4872-9642-4dec121f08f6,51217,51217,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis oricamporum,"P.M. Brown, 1982",Cleistesiopsis,oricamporum,,,N.M. Franz,2016,,,,,,"Nelson, John",,,9000,5/15/90,1990,5,15,135,,,,W side of Doublefield Rd and S of Main Rd; Cat Island Grassy edge of flatwoods at flooded borrow pit,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Georgetown County,,"Georgetown, Cat Island",,0,,33.219666,-79.23671,WGS84,5421,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:e56e7aa6-096c-4872-9642-4dec121f08f6,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694258
4694270,CLEMS,CUCH1,,PreservedSpecimen,f597232e-6e36-4a85-b2df-d7a094636733,53297,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,John F. Townsend,,,,5/25/96,1996,5,25,146,,,,,,,,,,,,,,,mature,,,,,,United States,South Carolina,Williamsburg,,Williamsburg,,1,,33.025253,-80.860109,WGS84,1009,,,,GeoLocate,,,,,,,,,,,,5/17/13 15:59,,612,urn:uuid:f597232e-6e36-4a85-b2df-d7a094636733,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694270
4694254,USCH,MAIN,,PreservedSpecimen,621b6a20-51db-4523-bb82-413fc227aa85,53544,53544,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,"Soblo, Dale",,,629,6/3/87,1987,6,3,154,,,,E of SC 63 along service drive; Givhans Ferry State Park Pinewoods,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Dorchester County,,"Dorchester, Givhans Ferry State Park Pinewoods",,1,,33.139888,-80.394264,WGS84,3036,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:621b6a20-51db-4523-bb82-413fc227aa85,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694254
4694262,USCH,MAIN,,PreservedSpecimen,e3c1b4c9-a4a4-4fcc-abc4-a79888491317,58376,58376,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis divaricata,"(L.) Pansarin & F. Barros, 2009",Cleistesiopsis,divaricata,,,N.M. Franz,2016,,,,,,"Nelson, John",,,12559,5/25/92,1992,5,25,146,,,,"N side of Buffalo Creek, about 0.5 miles W of Century Division Road; Fort Jackson Army Installation Boggy ground of sandhill seepage slope",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Richland County,,Buffalo Creek,,1,,34.056997,-80.776561,WGS84,210,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:e3c1b4c9-a4a4-4fcc-abc4-a79888491317,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694262
4694257,USCH,MAIN,,PreservedSpecimen,e7c5acf0-9333-405a-8d6f-50ada35599db,58399,58399,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis bifaria,"(Fernald) Pansarin & F. Barros, 2008",Cleistesiopsis,bifaria,,,N.M. Franz,2016,,,,,,"Nelson, John; Long, Brent; Kennemore, Jr., Douglas",,,12753,6/2/92,1992,6,2,154,,,,"Kasserine Pass Range, just W of Inchon; S edge of South Impact Area; Fort Jackson Army Installation Infrequent; sunny spots at small pond",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Richland County,,Fort Jackson Army,,1,,33.990704,-80.901263,WGS84,901,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,612,urn:uuid:e7c5acf0-9333-405a-8d6f-50ada35599db,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694257
4694276,CLEMS,CUCH1,,PreservedSpecimen,0d2e7f35-703e-4696-adf3-91e442578306,61124,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistesiopsis oricamporum,"P.M. Brown, 1982",Cleistesiopsis,oricamporum,,,N.M. Franz,2016,,,,,,"Richard.D D. Porcher, Jr.",,,816,5/21/74,1974,5,21,141,,,,"U.S. 17, 4.7 miles north of North Santee River,Habitat: Roadside",,,,,,,,,,,flowering and fruiting,,,,,,United States,South Carolina,Georgetown,,North Santee River,,0,,33.264269,-79.360139,WGS84,210,,,,GeoLocate,,,,,,,,,,,,5/17/13 15:59,,612,urn:uuid:0d2e7f35-703e-4696-adf3-91e442578306,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694276
