id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey,collId,recordId,references
4694153,MMNS,CUCH1,,PreservedSpecimen,b79296fe-f1da-4928-bf03-f77f4558806b,9983,9983,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,RAB 1968 - all orchid records.,,,,John Hays,,,3247,5/13/03,2003,5,13,133,,5/13/03,,Recently-burned but mostly grown over bog and longleaf pine savanna.,,,,,,,,flo,,,,,,,,,United States,Mississippi,Jackson,,VanCleave; McGregor Rd. ca. 2.6 m. NNE of jct. with HY57 ca. 100 meters before bridge over Pascagoula River;,,1,,30.58032,-88.671,WGS84,100,"T5S,R7W, S.27, NW4SE4.",heathers (2016-06-03 08:26:43),,georef batch tool 2016-06-03,reviewed - high confidence,,,,,,,,,,,6/3/16 11:26,,611,urn:uuid:b79296fe-f1da-4928-bf03-f77f4558806b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694153
4694154,MMNS,CUCH1,,PreservedSpecimen,6b1fa312-a429-41c2-9976-bc458cba2005,9984,9984,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,RAB 1968 - all orchid records.,,,,John Hays,,,3245,5/13/03,2003,5,13,133,,5/13/03,,Small (<0.5 acre) regularly mown bog.,,,,,,,,flo,,,,,,,,,United States,Mississippi,Jackson,,VanCleave; HY57 across (NE) from VanCleave Elementary School,,1,,30.54765,-88.69031,WGS84,100,"T6S,R7W, S.4, NE4SW4",heathers (2016-06-03 08:26:13),,georef batch tool 2016-06-03,reviewed - high confidence,,,,,,,,,,,6/3/16 11:26,,611,urn:uuid:6b1fa312-a429-41c2-9976-bc458cba2005,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694154
4694155,MMNS,CUCH1,,PreservedSpecimen,dac20402-e1bd-490d-90e7-0c971f24c1c8,10651,10651,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,RAB 1968 - all orchid records.,,,,Dan Wyrick,,,95-40,5/8/95,1995,5,8,128,,5/8/95,infrequent in openings among shrubs; moist sandy loam soil.,degraded pitcher plant savannah which has been logged and extensively colonized by Cliftonia monophylla. elev. 210',,,,,,,,flo,,,,,,,,,United States,Mississippi,Perry,,"CSTS TA 34, DeSoto Nat'l Forest. pitcher plant savannah 0.9 mi S of FR 312 on Rd. accessing military firing pts. 311 and 512.",Camp Shelby Training Site,1,,31.15467,-89.00273,WGS84,100,SE/4 NE/4 SW/4 SEC 9 T2N R12W,heathers (2016-06-02 08:25:15),,georef batch tool 2016-06-02,reviewed - high confidence,,,,,,,,,,HMS,6/2/16 11:25,,611,urn:uuid:dac20402-e1bd-490d-90e7-0c971f24c1c8,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694155
4694234,GEO,General Collection,,PreservedSpecimen,f588078e-6a5b-4c04-a180-210d4564666b,16244,GEO-GC-016244-0,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,,,,,,,,G. W. McDowell,,,,6/18/47,1947,6,18,169,,,Native to Southeastern United States,"Devil's Fork Swamp, 2 1/2 miles east of Hendersonville",,,406,,,,,,,,,,,,,,United States of America,North Carolina,Henderson County,,Henderson County,,1,,35.317805,-82.529345,WGS84,14542,,,,GeoLocate,,,,,,,,,,,,5/16/16 10:04,,611,urn:uuid:f588078e-6a5b-4c04-a180-210d4564666b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694234
4693997,USCH,MAIN,,PreservedSpecimen,c6a5af5f-6d1f-4627-9726-64e5cc5513ce,18329,18329,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Batson, Jr., Wade",,,,,,,"Batson, Jr., Wade",,,,6/2/67,1967,6,2,153,,,,overgrown bottomland,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Hampton County,,3 miles S of Hampton Low,,1,,32.834409,-81.127605,WGS84,7103,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:c6a5af5f-6d1f-4627-9726-64e5cc5513ce,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693997
4694006,USCH,MAIN,,PreservedSpecimen,f69f31e5-a3dc-4dbc-ab50-1b10776b1e11,18330,18330,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Fairey, III, John",,,,,,,"Fairey, III, John; Dukes, T.; Fairey, Daniel",,,,6/4/61,1961,6,4,155,,,,"Duukes Farm, 4 miles SW of Rowesville Wet open pine savannah",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Orangeburg County,,Rowesville,,1,,33.354968,-80.868281,WGS84,1013,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:f69f31e5-a3dc-4dbc-ab50-1b10776b1e11,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694006
4694159,MMNS,CUCH1,,PreservedSpecimen,755a30dd-2dfb-44ec-94ab-87353f69c8a5,22326,22326,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,RAB 1968 - all orchid records.,,,,Lucas C. Majure,,"Al Schotz, H. Sullivan, J. Thompson",168,4/30/04,2004,4,30,121,,4/30/04,,"powerline, boggy area of pine savanna",,,,,,,,flo,,,,,,,,,United States,Mississippi,Jackson,,"Grand Bay NERR, N of headquarters along powerline, W of rd.",Grand Bay NERR,1,,30.43055556,-88.42805556,,,*,,,,,,,,,,,,,,,3/27/15 5:17,,611,urn:uuid:755a30dd-2dfb-44ec-94ab-87353f69c8a5,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694159
4694001,USCH,MAIN,,PreservedSpecimen,c5d75cba-4bce-4f02-bbd4-e39954bf4d1d,25255,25255,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Aulbach-Smith, Cynthia",,,,,,,"Aulbach-Smith, Cynthia",,,2237,5/22/82,1982,5,22,142,,,,"South of S-22, between Ridgeland and Tarboro Pine savannah",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Jasper County,,Ridgeland,,1,,32.458875,-81.006822,WGS84,5475,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:c5d75cba-4bce-4f02-bbd4-e39954bf4d1d,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694001
4694160,MMNS,CUCH1,,PreservedSpecimen,6f470231-5121-48de-916e-86dc1bc30365,29947,29947,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,RAB 1968 - all orchid records.,,,,Steve W. Leonard,,,9809,4/19/97,1997,4,19,109,,4/19/97,,,,,,,,,,flo,,,,,,,,,United States,Florida,Gulf,,"5.3 mi S of Rt C22 on W side of Wetappo Creek, low ground savanna, slightly brackish",,1,,30.07172,-85.296322,WGS84,8294,,,,GeoLocate,,,,,,,,,,,JAH,7/22/15 16:50,,611,urn:uuid:6f470231-5121-48de-916e-86dc1bc30365,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694160
4694004,USCH,MAIN,,PreservedSpecimen,92cc35bc-a151-4ab0-8e96-228b40887c1e,30362,30362,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,RAB 1968 - all orchid records.,,,,"Rayner, Douglas",,,1892,5/8/84,1984,5,8,129,,,,"1.7 miles E along S-28 from its jct with US 21, the 300 yards SE Low shrub flatwoods adjacent to a pond pine pocosin",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Colleton County,,Bull Creek,,1,,32.79597,-80.873022,WGS84,210,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:92cc35bc-a151-4ab0-8e96-228b40887c1e,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694004
4694005,USCH,MAIN,,PreservedSpecimen,98fea86d-78df-4ba4-8ae7-d715ace48266,30453,30453,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Batson, Jr., Wade",,,,,,,"Batson, Jr., Wade",,,,5/8/55,1955,5,8,128,,,,Hilton Head Island,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Beaufort County,,Beaufort,,1,,32.441578,-80.647856,WGS84,3036,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:98fea86d-78df-4ba4-8ae7-d715ace48266,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694005
4694047,WILLI,CUCH1,,PreservedSpecimen,d1b64a04-781f-44ed-b2e4-e58fa707a2cc,39399,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,RAB 1968 - all orchid records.,,,,"Peake, Dwight E",,,252,6/28/78,1978,6,28,179,,,,"In dry sandy soil on open grassy roadside at edge of clearcut area 0.8 mile N of Pound Gap, W of the junction of Corder Branch and Little Stoney Creek, and N of Dungannon.","0.8 mile N of Pound Gap, W of the junctioDungannonn of Corder Branch and Little Stoney Creek, and N of",,,,,,,,,,,,,,,herbarium - 1,United States,Virginia,Scott,,Pound Gap,,1,,36.872511,-82.467658,WGS84,301,,,,GeoLocate,,,725,,,,,,,,,4/14/16 11:50,,611,urn:uuid:d1b64a04-781f-44ed-b2e4-e58fa707a2cc,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694047
4694000,USCH,MAIN,,PreservedSpecimen,ceebee3f-dc4b-4068-898a-54153efd8899,40440,40440,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Logue, John",,,,,,,"Logue, John",,,825362,6/11/82,1982,6,11,162,,,,Off Co. rd. S31-53 1.1 miles S of the junction of US 76 Pine savannah,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Lee County,,lynchburg,,1,,34.060157,-80.07146,WGS84,1633,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:ceebee3f-dc4b-4068-898a-54153efd8899,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694000
4693992,SJNM,CUCH1,,PreservedSpecimen,0c1ad909-0aaf-4f1d-ac5a-a7b333e8dd6d,45487,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,All orchid records to RAB 1968.,,,,"Vasey, G. R.",,,,1878-00-00,1878,0,0,,,,,,,,,,,,,,,,,,,,,Unspecified - 1,United States,Georgia,,,N/A,,1,,,,,,,,,,,,,,,,,,,,,3/30/11 20:11,,611,urn:uuid:0c1ad909-0aaf-4f1d-ac5a-a7b333e8dd6d,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693992
4694003,USCH,MAIN,,PreservedSpecimen,491f8ce8-3c3b-411d-a963-89a58ed52c78,51217,51217,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Nelson, John",,,,,,,"Nelson, John",,,9000,5/15/90,1990,5,15,135,,,,W side of Doublefield Rd and S of Main Rd; Cat Island Grassy edge of flatwoods at flooded borrow pit,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Georgetown County,,"Georgetown, Cat Island",,1,,33.219666,-79.23671,WGS84,5421,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:491f8ce8-3c3b-411d-a963-89a58ed52c78,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694003
4694015,CLEMS,CUCH1,,PreservedSpecimen,3dcffa32-516b-43d8-bdf0-4b23ae0075f3,53297,,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,John F. Townsend,,,,,,,John F. Townsend,,,,5/25/96,1996,5,25,146,,,,,,,,,,,,,,,mature,,,,,,United States,South Carolina,Williamsburg,,Williamsburg,,1,,33.025253,-80.860109,WGS84,1009,,,,GeoLocate,,,,,,,,,,,,5/17/13 15:59,,611,urn:uuid:3dcffa32-516b-43d8-bdf0-4b23ae0075f3,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694015
4693999,USCH,MAIN,,PreservedSpecimen,29f58dc4-5fe4-41d3-b706-eb3fbfcee85b,53544,53544,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,"Soblo, Dale",,,,,,,"Soblo, Dale",,,629,6/3/87,1987,6,3,154,,,,E of SC 63 along service drive; Givhans Ferry State Park Pinewoods,,,,,,,,flowering,,,,,,,,,United States,South Carolina,Dorchester County,,"Dorchester, Givhans Ferry State Park Pinewoods",,1,,33.139888,-80.394264,WGS84,3036,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:29f58dc4-5fe4-41d3-b706-eb3fbfcee85b,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4693999
4694007,USCH,MAIN,,PreservedSpecimen,6c72d417-3ef2-4481-8d23-8a579ceaa371,58376,58376,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Cleistes divaricata,(L.) Ames,Cleistes,divaricata,,,Nomenclatural Adjustment,9-Aug-16,http://uncpress.unc.edu/books/T-766.html,RAB 1968 - all orchid records.,,,,"Nelson, John",,,12559,5/25/92,1992,5,25,146,,,,"N side of Buffalo Creek, about 0.5 miles W of Century Division Road; Fort Jackson Army Installation Boggy ground of sandhill seepage slope",,,,,,,,flowering,,,,,,,,,United States,South Carolina,Richland County,,Buffalo Creek,,1,,34.056997,-80.776561,WGS84,210,,,,GeoLocate,,,,,,,,,,,,5/25/16 13:38,,611,urn:uuid:6c72d417-3ef2-4481-8d23-8a579ceaa371,http://hasbrouck.asu.edu/sandbox/collections/individual/index.php?occid=4694007
