stateProvince,county,centroidLon,centroidLat
West Virginia,Lincoln,-82.07050981250,38.17534038140
West Virginia,Kanawha,-81.52806646500,38.33654615860
West Virginia,Jackson,-81.67480241740,38.83444920850
West Virginia,Hancock,-80.57393557360,40.52134623010
West Virginia,Greenbrier,-80.45293826250,37.94693216310
West Virginia,Randolph,-79.87583488180,38.77473539260
West Virginia,Gilmer,-80.85709427640,38.92409413190
West Virginia,Fayette,-81.08114533500,38.02877037140
West Virginia,Clay,-81.07504904130,38.46256842860
West Virginia,Calhoun,-81.11754739660,38.84452005070
West Virginia,Cabell,-82.24171522350,38.42028522470
West Virginia,Brooke,-80.57646714510,40.27334077720
West Virginia,Braxton,-80.71933229700,38.69984714120
West Virginia,Boone,-81.71125556370,38.02306270320
West Virginia,Wetzel,-80.63909762720,39.60526717570
West Virginia,Wirt,-81.37860182350,39.02241341480
West Virginia,Wood,-81.51501918270,39.21111038750
West Virginia,Wyoming,-81.54912552240,37.60964329760
West Virginia,Barbour,-80.00301313930,39.13293313390
West Virginia,Taylor,-80.04614551640,39.33599713640
West Virginia,Webster,-80.42187042420,38.49470857240
West Virginia,Wayne,-82.42702214710,38.14613625360
West Virginia,Upshur,-80.23340909140,38.89784322580
West Virginia,Tyler,-80.88485467220,39.46525197480
West Virginia,Tucker,-79.56496268550,39.11359060960
West Virginia,Summers,-80.85856212180,37.65586229060
West Virginia,Roane,-81.34832326490,38.71401475800
West Virginia,Ritchie,-81.06289257140,39.17829181620
Pennsylvania,Northumberland,-76.70910153990,40.85203668570
Maine,Androscoggin,-70.20453775130,44.16542530040
New York,Richmond,-74.13435322560,40.64346364390
New Jersey,Hudson,-74.07779196410,40.74090432730
New York,New York,-73.96892641890,40.77864451220
New York,Bronx,-73.87070982870,40.82504288850
Rhode Island,Bristol,-71.28419887990,41.71606402360
Massachusetts,Dukes,-70.65605636510,41.39657814950
New York,Niagara,-78.74268177320,43.20106495610
New York,Wayne,-77.02916217720,43.15664267570
New York,Oswego,-76.14115898630,43.42612740800
New York,Orleans,-78.23121567900,43.25219330080
New York,Monroe,-77.69585402590,43.14637362830
Maine,Knox,-69.17301945080,44.14998364480
Maine,Sagadahoc,-69.86125941510,43.97046629020
